Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,choose_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
0,18,172,3,4,0,1,2021,8,4,0,0,0,0,0,0,0.6666666666666666,131.0,7.0,1
0,19,123,7,5,2,0,2021,8,5,0,4,4,2,2,0,1.0,119.0,6.5,1
0,20,102,10,7,6,0,2021,8,6,1,5,1,6,6,0,0.5,118.0,6.75,1
0,20,139,8,7,6,1,2021,8,6,1,5,1,6,6,0,0.5,152.25,5.25,0
0,21,76,3,3,5,0,2021,8,7,0,6,6,5,5,0,0.75,128.5,7.0,0
0,21,128,6,3,5,1,2021,8,7,0,6,6,3,5,1,0.5,146.75,5.75,1
1,22,125,6,4,6,1,2021,8,8,1,2,3,6,4,0,0.5,141.25,6.0,0
1,23,184,5,0,7,1,2021,8,9,1,0,0,7,0,0,0.6,139.6,5.6,1
0,23,127,9,7,0,0,2021,8,9,0,0,0,0,0,0,0.4,114.8,7.4,0
1,24,142,6,1,2,1,2021,8,10,0,4,4,1,1,1,0.0,141.75,4.75,0
0,24,127,5,2,1,0,2021,8,10,1,4,4,2,1,1,0.25,122.75,7.0,1
1,25,166,3,5,7,0,2021,8,11,1,6,6,7,5,0,0.8333333333333334,112.5,6.0,1
0,25,144,5,7,5,1,2021,8,11,0,6,6,5,5,0,0.3333333333333333,155.33333333333334,5.666666666666667,0
0,26,126,5,3,2,0,2021,8,12,1,1,2,2,2,0,0.6,118.0,6.2,0
1,26,200,5,3,2,1,2021,8,12,1,1,2,2,3,0,0.4,143.0,5.8,0
1,27,166,6,0,6,1,2021,8,13,0,7,5,6,0,0,0.6666666666666666,147.0,5.5,1
0,27,125,7,6,0,0,2021,8,13,1,7,5,0,0,0,0.6,136.0,6.2,1
0,28,103,9,1,4,0,2021,8,14,0,2,3,4,4,0,0.5,126.16666666666669,6.166666666666667,1
0,28,146,7,1,4,1,2021,8,14,0,2,3,1,4,1,0.2,141.8,5.0,1
0,29,135,8,2,6,1,2021,8,15,0,7,5,2,6,1,0.4,144.8,7.0,0
0,29,122,6,6,2,0,2021,8,15,1,7,5,2,2,0,0.5,134.16666666666666,6.333333333333333,0
0,30,134,7,4,5,1,2021,8,16,0,6,6,5,5,0,0.6666666666666666,139.33333333333334,6.166666666666667,1
1,30,115,3,5,4,0,2021,8,16,1,6,6,4,5,0,0.8571428571428571,120.14285714285714,5.571428571428571,1
1,31,147,4,0,3,0,2021,8,17,0,1,2,3,0,0,0.4285714285714285,129.57142857142858,7.0,1
0,31,143,8,3,0,1,2021,8,17,1,1,2,0,0,0,0.5,152.5,5.666666666666667,1
0,32,163,5,1,7,1,2021,8,18,0,5,1,7,7,0,0.1666666666666666,142.5,5.333333333333333,0
0,32,95,9,7,1,0,2021,8,18,1,5,1,1,1,0,0.2857142857142857,123.85714285714286,7.0,0
1,40,114,7,4,0,0,2021,8,20,1,2,3,0,4,0,0.5714285714285714,119.28571428571428,6.857142857142857,0
0,40,96,10,6,5,1,2021,8,20,0,2,3,5,5,0,0.625,136.25,7.0,1
1,50,121,6,4,5,0,2021,8,21,0,3,3,5,4,0,0.625,118.625,6.875,1
1,50,168,5,5,0,1,2021,8,21,0,3,3,0,5,0,0.75,136.125,6.125,1
0,1,107,7,7,5,1,2022,8,3,0,6,6,5,5,0,0.375,154.875,5.5,1
1,2,171,6,1,4,1,2022,8,4,0,2,3,4,1,0,0.1428571428571428,145.42857142857142,5.285714285714286,0
0,3,161,4,2,3,1,2022,8,5,1,4,4,3,3,0,0.3333333333333333,143.16666666666666,7.166666666666667,0
0,4,143,7,0,6,1,2022,8,6,0,7,5,6,6,0,0.6666666666666666,151.0,5.777777777777778,0
1,5,158,5,4,7,1,2022,8,7,0,5,1,7,4,0,0.5,142.625,6.25,0
1,6,160,6,1,2,1,2022,8,8,1,3,3,1,1,1,0.25,148.625,5.375,1
0,7,152,8,3,6,1,2022,8,9,1,1,2,6,6,0,0.5,152.375,5.75,1
1,8,176,4,0,5,1,2022,8,10,1,0,0,5,0,0,0.6,150.2,5.9,0
0,1,143,5,3,4,0,2022,8,11,0,2,3,4,4,0,0.4285714285714285,123.28571428571428,5.714285714285714,0
0,9,157,7,3,4,1,2022,8,11,0,2,3,4,4,0,0.4444444444444444,152.33333333333334,6.0,0
0,2,155,4,1,5,0,2022,8,12,0,6,6,1,5,1,0.5,119.375,6.875,1
1,10,147,6,1,5,1,2022,8,12,0,6,6,1,1,1,0.3333333333333333,149.88888888888889,5.444444444444445,1
1,3,119,5,6,2,0,2022,8,13,0,4,4,2,6,0,0.4285714285714285,132.42857142857142,6.285714285714286,0
1,4,161,5,0,7,0,2022,8,13,0,5,1,7,0,0,0.4444444444444444,129.77777777777777,6.666666666666667,0
0,11,189,3,2,6,1,2022,8,13,1,4,4,6,6,0,0.25,147.5,6.625,0
1,12,130,7,0,7,1,2022,8,13,0,5,1,7,0,0,0.6363636363636364,152.54545454545453,5.727272727272728,1
1,5,127,4,3,1,0,2022,8,14,1,1,2,1,3,0,0.375,125.75,5.625,0
1,6,153,8,5,4,0,2022,8,14,0,2,3,4,5,0,0.8,123.2,5.2,1
0,13,143,5,3,1,1,2022,8,14,1,1,2,3,1,1,0.4,152.8,6.1,0
0,14,137,6,5,4,1,2022,8,14,0,2,3,4,4,0,0.6666666666666666,140.58333333333334,5.916666666666667,0
0,7,116,9,6,0,0,2022,8,15,0,0,0,0,0,0,0.5,130.75,6.125,1
0,15,145,6,6,0,1,2022,8,15,0,0,0,0,0,0,0.6666666666666666,139.16666666666666,7.0,1
1,8,156,2,2,7,0,2022,8,16,1,4,4,7,2,0,0.375,123.125,6.125,0
1,16,149,9,2,7,1,2022,8,16,1,4,4,7,2,0,0.2222222222222222,152.11111111111111,6.222222222222222,0
0,9,112,8,6,4,0,2022,8,17,1,7,5,4,4,0,0.4444444444444444,129.11111111111111,6.444444444444445,0
1,17,181,4,6,4,1,2022,8,17,1,7,5,4,6,0,0.6153846153846154,139.6153846153846,6.923076923076923,0
1,10,136,5,5,2,0,2022,8,18,1,6,6,2,5,0,0.8181818181818182,125.9090909090909,5.454545454545454,1
1,18,188,3,2,5,1,2022,8,18,0,6,6,5,2,0,0.3,151.8,6.5,1
1,11,153,4,0,3,0,2022,8,19,1,0,0,3,0,0,0.5454545454545454,131.36363636363637,6.727272727272728,1
1,19,169,6,3,0,1,2022,8,19,0,0,0,0,3,0,0.3636363636363636,151.9090909090909,6.0,0
1,12,142,4,6,1,0,2022,8,20,1,7,5,1,6,0,0.4,127.4,6.6,0
0,20,122,10,1,6,1,2022,8,20,0,7,5,6,6,0,0.4545454545454545,149.0,5.454545454545454,1
0,13,160,3,2,3,0,2022,8,21,0,1,2,2,3,1,0.4,127.7,5.6,0
1,21,208,5,2,3,1,2022,8,21,0,1,2,3,2,0,0.3636363636363636,155.0909090909091,6.181818181818182,1
1,14,122,8,5,7,0,2022,8,22,0,5,1,7,5,0,0.8333333333333334,126.75,5.416666666666667,1
0,22,129,8,7,5,1,2022,8,22,1,5,1,5,5,0,0.25,148.58333333333334,6.0,0
0,15,106,7,0,4,0,2022,8,23,0,2,3,4,4,0,0.5833333333333334,133.16666666666666,6.5,1
1,23,166,6,0,4,1,2022,8,23,0,2,3,4,0,0,0.6428571428571429,151.57142857142858,5.857142857142857,0
