"Result","match_number","season","gender","team_code","opponent_code","winner_code","toss_winner_code","team_score","team_wickets","win_by_runs","win_by_wickets","days_from_start","choose_to_bat","home_advantage","venue_city_code","avg_win_rate","avg_score","avg_wickets_out","last_match_result"
"1",4,2022,"0",1,8,1,8,161,5,19,0,2,"0","0",8,0.444444444444444,127.222222222222,6.44444444444444,"0"
"1",5,2022,"0",4,2,4,2,127,4,5,0,3,"0","1",4,0.375,124.125,5.375,"0"
"1",6,2022,"0",6,5,6,5,153,8,12,0,3,"0","0",5,0.8,120.8,4.2,"1"
"0",7,2022,"0",7,1,1,1,116,9,0,8,4,"0","0",1,0.5,124.625,5.875,"1"
"1",8,2022,"0",3,8,3,8,156,2,11,0,5,"0","1",3,0.375,112.375,4.875,"0"
"0",9,2022,"0",7,5,5,5,112,8,0,5,6,"0","1",7,0.444444444444444,123.666666666667,6.22222222222222,"0"
"1",10,2022,"0",6,3,6,3,136,5,9,0,7,"0","1",6,0.818181818181818,123.727272727273,4.54545454545455,"1"
"1",11,2022,"0",1,4,1,4,153,4,5,0,8,"0","1",1,0.545454545454545,129.363636363636,5.90909090909091,"1"
"1",12,2022,"0",7,2,7,2,142,4,18,0,9,"0","1",7,0.4,122.5,6.4,"0"
"0",13,2022,"0",3,4,4,3,160,3,0,7,10,"1","0",4,0.4,118.2,4.9,"0"
"1",14,2022,"0",6,8,6,8,122,8,14,0,11,"0","0",8,0.833333333333333,124.75,4.58333333333333,"1"
"0",15,2022,"0",1,5,5,5,106,7,0,8,12,"0","0",5,0.583333333333333,131.333333333333,5.75,"1"
"0",16,2022,"0",8,2,2,8,119,9,0,8,13,"1","0",2,0.181818181818182,120.181818181818,6.54545454545455,"0"
"0",17,2022,"0",7,6,6,6,88,8,0,10,14,"0","0",6,0.454545454545454,124.272727272727,6.18181818181818,"1"
"1",18,2022,"0",8,4,8,8,123,6,11,0,15,"1","1",8,0.166666666666667,120.083333333333,6.75,"0"
"0",19,2022,"0",2,5,5,5,80,10,0,9,16,"0","1",2,0.416666666666667,121.416666666667,5.83333333333333,"1"
"1",20,2022,"0",3,1,3,1,122,6,18,0,17,"0","0",1,0.363636363636364,122,4.72727272727273,"0"
"0",21,2022,"0",8,7,7,8,100,8,0,8,18,"1","0",7,0.230769230769231,120.307692307692,6.69230769230769,"1"
"0",22,2022,"0",1,2,2,2,82,10,0,4,19,"0","0",2,0.5,127.571428571429,6.14285714285714,"0"
"1",23,2022,"0",4,6,4,6,145,6,20,0,20,"0","1",4,0.416666666666667,128.416666666667,5.08333333333333,"0"
"1",24,2022,"0",5,3,5,5,163,2,32,0,20,"1","0",3,0.714285714285714,116.214285714286,4.85714285714286,"1"
"1",40,2022,"0",6,7,6,7,134,6,2,0,22,"0","1",6,0.8,122.533333333333,4.8,"0"
"0",50,2022,"0",6,5,5,6,101,7,0,5,23,"1","0",5,0.8125,123.25,4.875,"1"
"0",1,2022,"1",8,6,6,6,107,7,0,9,0,"0","0",6,0.375,143.5,6.375,"1"
"1",2,2022,"1",2,5,2,5,171,6,3,0,1,"0","0",5,0.142857142857143,134.857142857143,6.85714285714286,"0"
"0",3,2022,"1",3,4,4,4,161,4,0,6,2,"0","1",3,0.333333333333333,130,6.83333333333333,"0"
"0",4,2022,"1",1,7,7,7,143,7,0,6,3,"0","0",7,0.666666666666667,148.666666666667,5.11111111111111,"0"
"1",5,2022,"1",5,8,5,8,158,5,39,0,4,"0","0",8,0.5,142.875,6.125,"0"
"1",6,2022,"1",2,3,2,2,160,6,52,0,5,"1","1",2,0.25,139.375,6.75,"1"
"0",7,2022,"1",4,7,7,7,152,8,0,7,6,"0","1",4,0.5,152,5.875,"1"
"1",8,2022,"1",1,6,1,6,176,4,53,0,7,"0","1",1,0.6,148.1,5.3,"0"
"0",9,2022,"1",4,5,5,5,157,7,0,3,8,"0","0",5,0.444444444444444,152,6.11111111111111,"0"
"1",10,2022,"1",2,6,2,2,147,6,9,0,9,"1","0",6,0.333333333333333,141.666666666667,6.66666666666667,"1"
"0",11,2022,"1",3,7,7,7,189,3,0,8,10,"0","1",3,0.25,131.125,6.875,"0"
"1",12,2022,"1",1,8,1,8,130,7,4,0,10,"0","0",8,0.636363636363636,150.636363636364,5.18181818181818,"1"
"0",13,2022,"1",4,2,2,4,143,5,0,7,11,"1","1",4,0.4,152.5,6.2,"0"
"0",14,2022,"1",6,5,5,5,137,6,0,7,11,"0","0",5,0.666666666666667,134.833333333333,5.33333333333333,"0"
"0",15,2022,"1",7,1,1,1,145,6,0,7,12,"0","0",1,0.666666666666667,138.416666666667,5.16666666666667,"1"
"1",16,2022,"1",3,8,3,8,149,9,47,0,13,"0","1",3,0.222222222222222,137.555555555556,6.44444444444444,"0"
