Result,match_number,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,team_score,team_wickets,win_by_runs,win_by_wickets,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
win,10,Trent Rockets,London Spirit,male,2021,7,29,no,"Lord's, London",London,London Spirit,Trent Rockets,123,4,7,0,no,yes,1.0,130.5,4.5,win
lose,11,Birmingham Phoenix,Southern Brave,male,2021,7,30,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,151,3,0,4,no,yes,0.5,117.5,8.5,lose
lose,12,Welsh Fire,Manchester Originals,male,2021,7,31,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Manchester Originals,150,6,0,7,yes,no,1.0,169.0,4.0,win
lose,13,Oval Invincibles,Northern Superchargers,male,2021,7,31,no,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,127,6,0,6,yes,no,1.0,145.0,8.0,win
lose,14,Trent Rockets,Birmingham Phoenix,male,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,144,6,0,6,no,yes,1.0,128.0,4.333333333333333,win
win,15,Southern Brave,London Spirit,male,2021,8,1,no,"Lord's, London",London,London Spirit,Southern Brave,145,6,4,0,no,yes,0.3333333333333333,141.66666666666666,7.0,win
lose,16,Welsh Fire,Oval Invincibles,male,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,121,7,0,6,no,yes,0.6666666666666666,162.66666666666666,4.666666666666667,lose
win,17,Northern Superchargers,London Spirit,male,2021,8,3,no,"Lord's, London",London,Northern Superchargers,Northern Superchargers,155,3,63,0,yes,no,0.3333333333333333,142.66666666666666,7.0,win
lose,18,Oval Invincibles,Birmingham Phoenix,male,2021,8,4,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,172,3,0,6,no,yes,0.6666666666666666,132.33333333333334,6.0,win
lose,20,Welsh Fire,Trent Rockets,male,2021,8,6,yes,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,139,8,0,6,no,yes,0.5,152.25,5.25,lose
lose,21,Northern Superchargers,Southern Brave,male,2021,8,7,no,"The Rose Bowl, Southampton",Southampton,Northern Superchargers,Southern Brave,128,6,0,5,yes,no,0.5,145.75,6.0,win
win,22,Oval Invincibles,Trent Rockets,male,2021,8,8,yes,"Kennington Oval, London",London,Trent Rockets,Oval Invincibles,125,6,9,0,no,yes,0.5,142.25,5.25,lose
win,23,Birmingham Phoenix,Welsh Fire,male,2021,8,9,yes,"Edgbaston, Birmingham",Birmingham,Welsh Fire,Birmingham Phoenix,184,5,93,0,no,yes,0.6,141.0,5.6,win
win,24,London Spirit,Manchester Originals,male,2021,8,10,no,"Old Trafford, Manchester",Manchester,London Spirit,London Spirit,142,6,6,0,yes,no,0.0,123.25,7.5,lose
lose,25,Welsh Fire,Southern Brave,male,2021,8,11,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,144,5,0,8,no,yes,0.3333333333333333,139.83333333333334,6.5,lose
win,26,Northern Superchargers,Manchester Originals,male,2021,8,12,yes,"Headingley, Leeds",Leeds,Manchester Originals,Northern Superchargers,200,5,69,0,no,yes,0.4,142.2,6.0,lose
win,27,Birmingham Phoenix,Trent Rockets,male,2021,8,13,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Birmingham Phoenix,166,6,16,0,no,yes,0.6666666666666666,148.16666666666666,5.5,win
lose,28,London Spirit,Oval Invincibles,male,2021,8,14,no,"Kennington Oval, London",London,London Spirit,Oval Invincibles,146,7,0,2,yes,no,0.2,127.0,7.2,win
lose,29,Manchester Originals,Trent Rockets,male,2021,8,15,no,"Trent Bridge, Nottingham",Nottingham,Manchester Originals,Trent Rockets,135,8,0,7,yes,no,0.4,129.0,6.6,lose
lose,30,Oval Invincibles,Southern Brave,male,2021,8,16,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,134,7,0,6,no,yes,0.6666666666666666,140.16666666666666,5.833333333333333,win
lose,31,Northern Superchargers,Birmingham Phoenix,male,2021,8,17,yes,"Headingley, Leeds",Leeds,Birmingham Phoenix,Birmingham Phoenix,143,8,0,8,no,yes,0.5,151.83333333333334,5.833333333333333,win
lose,32,London Spirit,Welsh Fire,male,2021,8,18,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,163,5,0,3,no,yes,0.1666666666666666,130.16666666666666,7.166666666666667,lose
lose,40,Trent Rockets,Southern Brave,male,2021,8,20,no,"Kennington Oval, London",London,Southern Brave,Southern Brave,96,10,0,7,no,yes,0.625,133.75,5.375,win
win,50,Southern Brave,Birmingham Phoenix,male,2021,8,21,no,"Lord's, London",London,Birmingham Phoenix,Southern Brave,168,5,32,0,no,yes,0.75,135.0,5.125,win
lose,1,Northern Superchargers,Oval Invincibles,female,2022,8,11,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,143,5,0,9,no,yes,0.4285714285714285,121.42857142857144,5.428571428571429,lose
lose,2,London Spirit,Southern Brave,female,2022,8,12,no,"The Rose Bowl, Southampton",Southampton,London Spirit,Southern Brave,155,4,0,6,yes,no,0.5,116.75,6.375,win
win,3,Trent Rockets,Manchester Originals,female,2022,8,13,no,"Old Trafford, Manchester",Manchester,Manchester Originals,Trent Rockets,119,5,43,0,no,yes,0.4285714285714285,125.42857142857144,6.0,lose
win,4,Birmingham Phoenix,Welsh Fire,female,2022,8,13,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Birmingham Phoenix,161,5,19,0,no,yes,0.4444444444444444,127.22222222222224,6.444444444444445,lose
win,5,Northern Superchargers,London Spirit,female,2022,8,14,yes,"Headingley, Leeds",Leeds,London Spirit,Northern Superchargers,127,4,5,0,no,yes,0.375,124.125,5.375,lose
