Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result,toss_result
1,23.0,184,5,0,7,1,2021,8,9,1,0,0,7,0,0,1,0.6,139.6,5.6,1,0
0,23.0,127,9,7,0,0,2021,8,9,0,0,0,0,0,0,1,0.4,114.8,7.4,0,1
1,24.0,142,6,1,2,1,2021,8,10,0,4,4,1,1,1,0,0.0,141.75,4.75,0,1
0,24.0,127,5,2,1,0,2021,8,10,1,4,4,2,1,1,0,0.25,122.75,7.0,1,0
1,25.0,166,3,5,7,0,2021,8,11,1,6,6,7,5,0,1,0.8333333333333334,112.5,6.0,1,0
0,25.0,144,5,7,5,1,2021,8,11,0,6,6,5,5,0,1,0.3333333333333333,155.33333333333334,5.666666666666667,0,1
0,26.0,126,5,3,2,0,2021,8,12,1,1,2,2,2,0,1,0.6,118.0,6.2,0,1
1,26.0,200,5,3,2,1,2021,8,12,1,1,2,2,3,0,1,0.4,143.0,5.8,0,0
1,27.0,166,6,0,6,1,2021,8,13,0,7,5,6,0,0,1,0.6666666666666666,147.0,5.5,1,0
0,27.0,125,7,6,0,0,2021,8,13,1,7,5,0,0,0,1,0.6,136.0,6.2,1,1
0,28.0,103,9,1,4,0,2021,8,14,0,2,3,4,4,0,1,0.5,126.16666666666669,6.166666666666667,1,1
0,28.0,146,7,1,4,1,2021,8,14,0,2,3,1,4,1,0,0.2,141.8,5.0,1,0
0,29.0,135,8,2,6,1,2021,8,15,0,7,5,2,6,1,0,0.4,144.8,7.0,0,0
0,29.0,122,6,6,2,0,2021,8,15,1,7,5,2,2,0,1,0.5,134.16666666666666,6.333333333333333,0,1
0,30.0,134,7,4,5,1,2021,8,16,0,6,6,5,5,0,1,0.6666666666666666,139.33333333333334,6.166666666666667,1,1
1,30.0,115,3,5,4,0,2021,8,16,1,6,6,4,5,0,1,0.8571428571428571,120.14285714285714,5.571428571428571,1,0
1,31.0,147,4,0,3,0,2021,8,17,0,1,2,3,0,0,1,0.4285714285714285,129.57142857142858,7.0,1,0
0,31.0,143,8,3,0,1,2021,8,17,1,1,2,0,0,0,1,0.5,152.5,5.666666666666667,1,1
0,32.0,163,5,1,7,1,2021,8,18,0,5,1,7,7,0,1,0.1666666666666666,142.5,5.333333333333333,0,1
0,32.0,95,9,7,1,0,2021,8,18,1,5,1,1,1,0,1,0.2857142857142857,123.85714285714286,7.0,0,1
1,40.0,114,7,4,0,0,2021,8,20,1,2,3,0,4,0,1,0.5714285714285714,119.28571428571428,6.857142857142857,0,0
0,40.0,96,10,6,5,1,2021,8,20,0,2,3,5,5,0,1,0.625,136.25,7.0,1,1
1,50.0,121,6,4,5,0,2021,8,21,0,3,3,5,4,0,1,0.625,118.625,6.875,1,0
1,50.0,168,5,5,0,1,2021,8,21,0,3,3,0,5,0,1,0.75,136.125,6.125,1,0
0,1.0,107,7,7,5,1,2022,8,3,0,6,6,5,5,0,1,0.375,154.875,5.5,1,1
1,2.0,171,6,1,4,1,2022,8,4,0,2,3,4,1,0,1,0.1428571428571428,145.42857142857142,5.285714285714286,0,0
0,3.0,161,4,2,3,1,2022,8,5,1,4,4,3,3,0,1,0.3333333333333333,143.16666666666666,7.166666666666667,0,1
0,4.0,143,7,0,6,1,2022,8,6,0,7,5,6,6,0,1,0.6666666666666666,151.0,5.777777777777778,0,1
1,5.0,158,5,4,7,1,2022,8,7,0,5,1,7,4,0,1,0.5,142.625,6.25,0,0
1,6.0,160,6,1,2,1,2022,8,8,1,3,3,1,1,1,0,0.25,148.625,5.375,1,1
0,7.0,152,8,3,6,1,2022,8,9,1,1,2,6,6,0,1,0.5,152.375,5.75,1,1
1,8.0,176,4,0,5,1,2022,8,10,1,0,0,5,0,0,1,0.6,150.2,5.9,0,0
