Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,toss_decision,choose_to_bat,choose_to_field,forced_to_bat,forced_to_field
win,11.0,151,3,Southern Brave,Birmingham Phoenix,male,2021,7,30,yes,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,field,no,yes,no,no
loose,12.0,120,6,Manchester Originals,Welsh Fire,female,2021,7,31,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,bat,no,no,yes,no
win,12.0,120,6,Welsh Fire,Manchester Originals,female,2021,7,31,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,field,no,yes,no,no
loose,13.0,127,6,Oval Invincibles,Northern Superchargers,male,2021,7,31,no,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,bat,yes,no,no,no
win,13.0,127,6,Northern Superchargers,Oval Invincibles,male,2021,7,31,yes,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,field,no,no,no,yes
loose,12.0,150,6,Welsh Fire,Manchester Originals,male,2021,7,31,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Manchester Originals,bat,yes,no,no,no
win,12.0,150,6,Manchester Originals,Welsh Fire,male,2021,7,31,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Manchester Originals,field,no,no,no,yes
win,13.0,109,8,Northern Superchargers,Oval Invincibles,female,2021,7,31,yes,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,bat,no,no,yes,no
loose,13.0,109,8,Oval Invincibles,Northern Superchargers,female,2021,7,31,no,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,field,no,yes,no,no
win,15.0,145,6,Southern Brave,London Spirit,male,2021,8,1,no,"Lord's, London",London,London Spirit,Southern Brave,bat,no,no,yes,no
loose,15.0,145,6,London Spirit,Southern Brave,male,2021,8,1,yes,"Lord's, London",London,London Spirit,Southern Brave,field,no,yes,no,no
loose,14.0,144,6,Trent Rockets,Birmingham Phoenix,male,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no
win,14.0,144,6,Birmingham Phoenix,Trent Rockets,male,2021,8,1,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,field,no,yes,no,no
loose,15.0,93,10,London Spirit,Southern Brave,female,2021,8,1,yes,"Lord's, London",London,Southern Brave,Southern Brave,bat,no,no,yes,no
win,15.0,93,10,Southern Brave,London Spirit,female,2021,8,1,no,"Lord's, London",London,Southern Brave,Southern Brave,field,no,yes,no,no
win,14.0,145,5,Trent Rockets,Birmingham Phoenix,female,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Trent Rockets,Trent Rockets,bat,yes,no,no,no
loose,14.0,145,5,Birmingham Phoenix,Trent Rockets,female,2021,8,1,yes,"Edgbaston, Birmingham",Birmingham,Trent Rockets,Trent Rockets,field,no,no,no,yes
loose,16.0,121,7,Welsh Fire,Oval Invincibles,male,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,bat,no,no,yes,no
win,16.0,121,7,Oval Invincibles,Welsh Fire,male,2021,8,2,yes,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,field,no,yes,no,no
win,16.0,112,6,Welsh Fire,Oval Invincibles,female,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Welsh Fire,bat,no,no,yes,no
loose,16.0,112,6,Oval Invincibles,Welsh Fire,female,2021,8,2,yes,"Kennington Oval, London",London,Oval Invincibles,Welsh Fire,field,no,yes,no,no
loose,17.0,126,5,Northern Superchargers,London Spirit,female,2021,8,3,no,"Lord's, London",London,Northern Superchargers,London Spirit,bat,yes,no,no,no
win,17.0,126,5,London Spirit,Northern Superchargers,female,2021,8,3,yes,"Lord's, London",London,Northern Superchargers,London Spirit,field,no,no,no,yes
win,17.0,155,3,Northern Superchargers,London Spirit,male,2021,8,3,no,"Lord's, London",London,Northern Superchargers,Northern Superchargers,bat,yes,no,no,no
loose,17.0,155,3,London Spirit,Northern Superchargers,male,2021,8,3,yes,"Lord's, London",London,Northern Superchargers,Northern Superchargers,field,no,no,no,yes
loose,18.0,129,9,Birmingham Phoenix,Oval Invincibles,female,2021,8,4,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Oval Invincibles,bat,yes,no,no,no
